name of state / ut,active cases,cured/discharged/migrated,deceased,total confirmed cases,date,latitude,longitude
Andaman and Nicobar Islands,70,93,0,163,2020-07-13,11.7401,92.6586
Andhra Pradesh,13428,15412,328,29168,2020-07-13,15.9129,79.74
Arunachal Pradesh,219,138,2,359,2020-07-13,28.218,94.7278
Assam,5610,10426,35,16071,2020-07-13,26.2006,92.9376
Bihar,5001,11498,143,16642,2020-07-13,25.0961,85.3131
Chandigarh,134,417,8,559,2020-07-13,30.7333,76.7794
Chhattisgarh,887,3153,19,4059,2020-07-13,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,234,245,0,479,2020-07-13,20.1809,73.0169
Delhi,19155,89968,3371,112494,2020-07-13,28.7041,77.1025
Goa,952,1487,14,2453,2020-07-13,15.2993,74.124
Gujarat,10613,29162,2045,41820,2020-07-13,22.2587,71.1924
Haryana,4956,15983,301,21240,2020-07-13,29.0588,76.0856
Himachal Pradesh,273,929,11,1213,2020-07-13,31.1048,77.1734
Jammu and Kashmir,4355,5979,179,10513,2020-07-13,33.7782,76.5762
Jharkhand,1418,2308,30,3756,2020-07-13,23.6102,85.2799
Karnataka,22750,15409,684,38843,2020-07-13,15.3173,75.7139
Kerala,3747,4095,31,7873,2020-07-13,10.8505,76.2711
Ladakh,157,928,1,1086,2020-07-13,34.2996,78.2932
Madhya Pradesh,4103,12876,653,17632,2020-07-13,22.9734,78.6569
Maharashtra,103813,140325,10289,254427,2020-07-13,19.7515,75.7139
Manipur,713,896,0,1609,2020-07-13,24.6637,93.9063
Meghalaya,238,66,2,306,2020-07-13,25.467,91.3662
Mizoram,81,150,0,231,2020-07-13,23.1645,92.9376
Nagaland,447,327,0,774,2020-07-13,26.1584,94.5624
Odisha,4307,8750,64,13121,2020-07-13,20.9517,85.0985
Puducherry,661,739,18,1418,2020-07-13,11.9416,79.8083
Punjab,2230,5392,199,7821,2020-07-13,31.1471,75.3412
Rajasthan,5779,18103,510,24392,2020-07-13,27.0238,74.2179
Sikkim,72,81,0,153,2020-07-13,27.533,88.5122
Tamil Nadu,46972,89532,1966,138470,2020-07-13,11.1271,78.6569
Telangana,11833,22482,356,34671,2020-07-13,18.1124,79.0193
Tripura,631,1421,2,2054,2020-07-13,23.9408,91.9882
Uttarakhand,704,2786,47,3537,2020-07-13,30.0668,79.0193
Uttar Pradesh,12208,23334,934,36476,2020-07-13,26.8467,80.9462
West Bengal,10500,18581,932,30013,2020-07-13,22.9868,87.855
